	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	Siglec-7+ NK cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2E	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	DNAM-1+ NK cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2F	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CXCR6+ NK cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2G	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Natural Killer Cell	CL:0000623	FACS	Aiolos		protein/cytokine levels	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 2F	https://www.nature.com/articles/s41423-020-00557-9/figures/2	Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS & in-vitro stimulation w/ SW480	IFNgamma+ NK cells		cell type frequency	down	SW480-stimulated cells from SARS-CoV-2 patients vs SW480-stimulated cells from healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 3A	https://www.nature.com/articles/s41423-020-00557-9/figures/3	IFNg+ NK cells after in-vitro stimulation with SW480 target cell. Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS & in-vitro stimulation w/ K562	IFNgamma+ NK cells		cell type frequency	down	K562-stimulated cells from SARS-CoV-2 patients vs K562-stimulated cells from healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 3B	https://www.nature.com/articles/s41423-020-00557-9/figures/3	IFNg+ NK cells after in-vitro stimulation with K562 target cell. Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS & in-vitro stimulation w/ K562	CD56-bright CD107a+ cells		cell type frequency	down	K562-stimulated cells from SARS-CoV-2 patients vs K562-stimulated cells from healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 3C	https://www.nature.com/articles/s41423-020-00557-9/figures/3	CD56-bright CD107a+ cells after in-vitro stimulation with K562 target cell. Significant changes are seen in the percentage of the given cell.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS & in-vitro stimulation w/ K562	CD56-bright IFNgamma+ cells		cell type frequency	down	K562-stimulated cells from SARS-CoV-2 patients vs K562-stimulated cells from healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 3C	https://www.nature.com/articles/s41423-020-00557-9/figures/3	CD56-bright IFNg+ cells after in-vitro stimulation with K562 target cell. Significant changes are seen in the percentage of the given cell	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001		CD107a+ NK cells; IFNgamma+ NK cells		cell type frequency	negatively correlated	correlated w/ C-reactive protein value in all patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 3D	https://www.nature.com/articles/s41423-020-00557-9/figures/3	C-reactive protein was negatively correlated to the percentage of CD107a+ NK cells, IFNg+ NK cells.	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD3- CD4+ T cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4A	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage and absolute number of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD3- CD8+ T cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4B	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage and absolute number of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	32	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD3- CD8+ T cells		cell type frequency	down	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4B	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage and absolute number of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ CD8+ T cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4C	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	32	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ CD8+ T cells		cell type frequency	up	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4C	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ CD4+ T cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4D	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	32	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ CD4+ T cells		cell type frequency	up	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4D	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	TIM-3+ CD8+ T cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4E	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	TIM-3+ CD4+ T cells		cell type frequency	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4F	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CXCR6+ CD8+ T cells		cell type frequency	down	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4G	https://www.nature.com/articles/s41423-020-00557-9/figures/4	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19	Pavia, Italy	32	92	years	57	CD8+ alpha-beta T cell	CL:0000625	FACS	Aiolos		protein/cytokine levels	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 4H	https://www.nature.com/articles/s41423-020-00557-9/figures/4		
	Simranpreet	Amani	2021-06-19					7	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD3+ CD8+ T cells		cell type frequency	up	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5A	https://www.nature.com/articles/s41423-020-00557-9/figures/5	Significant changes are seen in the percentage and absolute number of the given cell(s).	
	Simranpreet	Amani	2021-06-19					7	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	TIM-3+ NK cells		cell type frequency	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5B	https://www.nature.com/articles/s41423-020-00557-9/figures/5	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19					7	Natural Killer Cell	CL:0000623	FACS	TIM-3		protein/cytokine levels	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5B	https://www.nature.com/articles/s41423-020-00557-9/figures/5		
	Simranpreet	Amani	2021-06-19					7	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	TIM-3+ CD8+ T cells		cell type frequency	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5C	https://www.nature.com/articles/s41423-020-00557-9/figures/5	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19					7	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ NK cells		cell type frequency	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5D	https://www.nature.com/articles/s41423-020-00557-9/figures/5		
	Simranpreet	Amani	2021-06-19					7	Natural Killer Cell	CL:0000623	FACS	CD69		protein/cytokine levels	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5D	https://www.nature.com/articles/s41423-020-00557-9/figures/5	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19					7	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ CD8+ T cells		cell type frequency	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5E	https://www.nature.com/articles/s41423-020-00557-9/figures/5	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19					7	Peripheral Blood Mononuclear Cells	CL:2000001	FACS	CD69+ CD4+ T cells		cell type frequency	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 5F	https://www.nature.com/articles/s41423-020-00557-9/figures/5	Significant changes are seen in the percentage of the given cell(s).	
	Simranpreet	Amani	2021-06-19		32	92	years	57	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-6		protein/cytokine levels	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6A	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	92	years	32	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-6		protein/cytokine levels	up	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6A	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	77	years	17	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-6		protein/cytokine levels	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6A	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	92	years	57	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-8		protein/cytokine levels	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6B	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	77	years	17	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-8		protein/cytokine levels	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6B	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	92	years	57	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-10		protein/cytokine levels	up	SARS-CoV-2 patients vs healthy donors	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6C	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	92	years	32	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-10		protein/cytokine levels	up	SARS-CoV-2 deceased patients vs SARS-CoV-2 surviving patients	time of first examination	1-2	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6C	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	77	years	17	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	IL-10		protein/cytokine levels	down	Convalescing (30-45 days after hospital discharge) vs Acute				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6C	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	92	years	32	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	Lactic Dehydrogenase		protein/cytokine levels	positively correlated	serum IL-6 levels in SARS-CoV-2 patients				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6D	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
	Simranpreet	Amani	2021-06-19		32	92	years	32	Serum	BTO_0001239	BD Cytometric Bead Array (CBA)	C Reactive Protein		protein/cytokine levels	positively correlated	serum IL-6 levels in SARS-CoV-2 patients				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	33060840	2020-10-15	https://www.nature.com/articles/s41423-020-00557-9	Fig 6E	https://www.nature.com/articles/s41423-020-00557-9/figures/6		
