"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","additional_exposure_material","target_pathogen_taxonid","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","exposure_material_id_1","exposure_material_id_2"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NMI","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NMI","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","RIPK3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","RIPK3","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PSME1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PSME1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","RTCB","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","RTCB","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","APOL3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","APOL3","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","LDLR","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","LDLR","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SIGLEC5","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SIGLEC5","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","GNA15","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","GNA15","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NPC2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NPC2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MS4A7","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MS4A7","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NAPA","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NAPA","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","KYNU","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","KYNU","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NOD2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NOD2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","OGFR","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","OGFR","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PHACTR2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PHACTR2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","KCNMB1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","KCNMB1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SLC2A6","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SLC2A6","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NUSAP1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NUSAP1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MCM4","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MCM4","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","ACOT7","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ACOT7","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PRAM1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PRAM1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MYDGF","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MYDGF","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CENPM","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CENPM","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TUBG1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TUBG1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SDF2L1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SDF2L1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CDCA7","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CDCA7","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CDCA5","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CDCA5","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CCNB2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CCNB2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TXNDC11","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TXNDC11","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SRM","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SRM","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
