""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_43_1303"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD4+ T cells; CD31+ CD45RA+ CCR7+ CD8+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895; CL_0000900"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"2"	"2"	"33391280_44_1304"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_45_1305"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"1"	"1"	"33391280_46_1306"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_47_1307"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD4+ T cells; CD31+ CD45RA+ CCR7+ CD8+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4C, Fig S2C"	""	"CL_0000895; CL_0000900"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"2"	"2"	"33391280_48_1308"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000895"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"1"	"1"	"33391280_49_1309"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000895"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"1"	"1"	"33391280_50_1310"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000895"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_51_1311"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD4+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000895"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_52_1312"
""	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31+ CD45RA+ CCR7+ CD8+ T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000900"	"(CD31+,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31+,CD45RA+,CCR7+)"	"1"	"1"	"33391280_53_1313"
""	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000900"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_54_1314"
""	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000900"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_55_1315"
""	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD31- CD45RA+ CCR7+ CD8+ T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2C"	""	"CL_0000900"	"(CD31-,CD45RA+,CCR7+)"	"PR:000001904,PR:000001015,PR:000001203"	"naive thymus-derived cd8-positive, alpha-beta t cell (CD31-,CD45RA+,CCR7+)"	"1"	"1"	"33391280_56_1316"
""	"effector memory cd4-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CCR7- CD45RA+ CD4+ (TEMRA) T cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 asymptomatic vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2D"	""	"CL_0001087"	"(CD45RA+,CCR7-)"	"PR:000001015,PR:000001203"	"effector memory cd4-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	"1"	"1"	"33391280_57_1317"
""	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CCR7- CD45RA+ CD8+ (TEMRA) T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2D"	""	"CL_0001062"	"(CD45RA+,CCR7-)"	"PR:000001015,PR:000001203"	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	"1"	"1"	"33391280_58_1318"
""	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CCR7- CD45RA+ CD8+ (TEMRA) T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S2D"	""	"CL_0001062"	"(CD45RA+,CCR7-)"	"PR:000001015,PR:000001203"	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	"1"	"1"	"33391280_59_1319"
""	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CCR7- CD45RA+ CD8+ (TEMRA) T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4D"	""	"CL_0001062"	"(CD45RA+,CCR7-)"	"PR:000001015,PR:000001203"	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	"1"	"1"	"33391280_60_1320"
""	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD3+ CCR7- CD45RA+ CD8+ (TEMRA) T cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 4D"	""	"CL_0001062"	"(CD45RA+,CCR7-)"	"PR:000001015,PR:000001203"	"effector memory cd8-positive, alpha-beta t cell, terminally differentiated (CD45RA+,CCR7-)"	"1"	"1"	"33391280_61_1321"
""	"b cell"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"B cells of lymphocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5B, Fig S4B"	""	"CL_0000236"	""	""	"b cell"	"1"	"1"	"33391280_62_1322"
""	"plasmablast (CD27++,CD38++,CD24-)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD24- CD27++ CD38++ plasmablasts of B cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S4B"	""	"CL_0000980"	"(CD27++,CD38++,CD24-)"	"PR:000001963,PR:000001408,PR:000001932"	"plasmablast (CD27++,CD38++,CD24-)"	"1"	"1"	"33391280_63_1323"
""	"b cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"B cells of lymphocytes"	""	"cell-type frequency"	"up"	"SARS CoV-2 asymptomatic vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5B, Fig S4B"	""	"CL_0000236"	""	""	"b cell"	"1"	"1"	"33391280_64_1324"
""	"b cell"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"B cells of lymphocytes"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5B, Fig S4B"	""	"CL_0000236"	""	""	"b cell"	"1"	"1"	"33391280_65_1325"
""	"memory b cell"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"memory B cells of B cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S4B"	""	"CL_0000787"	""	""	"memory b cell"	"1"	"1"	"33391280_66_1326"
""	"memory b cell"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"63.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"memory B cells of B cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S4B"	""	"CL_0000787"	""	""	"memory b cell"	"1"	"1"	"33391280_67_1327"
""	"memory b cell"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"48.5"	"years"	"48"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"memory B cells of B cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 asymptomatic vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig S4B"	""	"CL_0000787"	""	""	"memory b cell"	"1"	"1"	"33391280_68_1328"
""	"plasmablast (CD27++,CD38++,CD24-)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD24- CD27++ CD38++ plasmablasts of B cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5B, Fig S4B"	""	"CL_0000980"	"(CD27++,CD38++,CD24-)"	"PR:000001963,PR:000001408,PR:000001932"	"plasmablast (CD27++,CD38++,CD24-)"	"1"	"1"	"33391280_69_1329"
""	"plasmablast (CD27++,CD38++,CD24-)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"82.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD24- CD27++ CD38++ plasmablasts of B cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5B, Fig S4B"	""	"CL_0000980"	"(CD27++,CD38++,CD24-)"	"PR:000001963,PR:000001408,PR:000001932"	"plasmablast (CD27++,CD38++,CD24-)"	"1"	"1"	"33391280_70_1330"
""	"unswitched memory b cell (CD27+,IGM+)"	""	"COVID-19 cases (Rome, Italy)"	"34.3"	"82.5"	"years"	"28"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"IgM+ cells of CD27+ memory B cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 asymptomatic"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5C"	""	"CL_0000970"	"(CD27+,IGM+)"	"PR:000001963,PR:000050257"	"unswitched memory b cell (CD27+,IGM+)"	"1"	"1"	"33391280_71_1331"
""	"unswitched memory b cell (CD27+,IGM+)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"IgM+ cells of CD27+ memory B cells"	""	"cell-type frequency"	"down"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5C"	""	"CL_0000970"	"(CD27+,IGM+)"	"PR:000001963,PR:000050257"	"unswitched memory b cell (CD27+,IGM+)"	"1"	"1"	"33391280_72_1332"
""	"class switched memory b cell (CD27+,IGM-)"	""	"COVID-19 cases (Rome, Italy)"	"48"	"82.5"	"years"	"16"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"IgM- (switched) cells of CD27+ memory B cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 severe vs SARS CoV-2 mild"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5C, Fig S4C"	""	"CL_0000972"	"(CD27+,IGM-)"	"PR:000001963,PR:000050257"	"class switched memory b cell (CD27+,IGM-)"	"1"	"1"	"33391280_73_1333"
""	"unswitched memory b cell (CD27+,IGM+)"	""	"COVID-19 cases and SARS-CoV-2-negative contacts (Rome, Italy)"	"32"	"63.5"	"years"	"36"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"IgM+ cells of CD27+ memory B cells"	""	"cell-type frequency"	"up"	"SARS CoV-2 mild vs SARS CoV-2 contacts"	"time of diagnosis"	"0,1,2,3,4,5,6"	"weeks"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33391280"	"2020-12-16"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7772470/"	"Fig 5C, Fig S4C"	""	"CL_0000970"	"(CD27+,IGM+)"	"PR:000001963,PR:000050257"	"unswitched memory b cell (CD27+,IGM+)"	"1"	"1"	"33391280_74_1334"
